server_computation_start_time,server_computation_end_time,server_sent_data_time,start_time,initial_network_connection_finished,client_setup_finished_time,client_received_time,client_computation_finish_time
1680556150.3095713,1680556151.7152643,1680556151.7262762,1680556150.3095713,1680556150.3095713,1680556150.3095713,1680556152.3597913,1680556164.78369
1680556164.78369,1680556166.3353717,1680556166.3510742,1680556164.78369,1680556164.78369,1680556164.78369,1680556167.0067384,1680556180.7425454
1680556180.7425454,1680556182.4426198,1680556182.4593596,1680556180.7425454,1680556180.7425454,1680556180.7425454,1680556183.2205691,1680556196.598965
1680556196.598965,1680556197.891442,1680556197.906458,1680556196.598965,1680556196.598965,1680556196.598965,1680556198.6329584,1680556211.9232006
1680556211.9232006,1680556213.4544206,1680556213.470539,1680556211.9232006,1680556211.9232006,1680556211.9232006,1680556214.145149,1680556227.2449505
1680556227.2624938,1680556228.8444974,1680556228.8444974,1680556227.2624938,1680556227.2624938,1680556227.2624938,1680556229.565862,1680556243.1286283
1680556243.1286283,1680556244.8225164,1680556244.8375242,1680556243.1286283,1680556243.1286283,1680556243.1286283,1680556245.4502027,1680556258.7787247
1680556258.7787247,1680556260.156377,1680556260.1721573,1680556258.7787247,1680556258.7787247,1680556258.7787247,1680556260.8140907,1680556273.945941
1680556273.962286,1680556275.3302026,1680556275.345241,1680556273.962286,1680556273.962286,1680556273.962286,1680556276.0267804,1680556289.4127111
1680556289.4284234,1680556290.773504,1680556290.7891283,1680556289.4284234,1680556289.4284234,1680556289.4284234,1680556291.4757884,1680556304.6818993
1680556304.6818993,1680556306.1711352,1680556306.1711352,1680556304.6818993,1680556304.6818993,1680556304.6818993,1680556306.8779926,1680556320.4892824
1680556320.5049176,1680556321.8529577,1680556321.8544002,1680556320.5049176,1680556320.5049176,1680556320.5049176,1680556322.6166382,1680556335.8349311
1680556335.8508992,1680556337.4235291,1680556337.4399085,1680556335.8508992,1680556335.8508992,1680556335.8508992,1680556338.2115855,1680556351.8430018
1680556351.8430018,1680556353.3161166,1680556353.3329403,1680556351.8430018,1680556351.8430018,1680556351.8430018,1680556354.0155733,1680556367.7722259
1680556367.7722259,1680556369.6103292,1680556369.6103292,1680556367.7722259,1680556367.7722259,1680556367.7722259,1680556370.3676999,1680556384.0145726
1680556384.0145726,1680556385.3656495,1680556385.3885927,1680556384.0145726,1680556384.0145726,1680556384.0145726,1680556386.0999985,1680556400.1483984
1680556400.1643593,1680556401.6693747,1680556401.6852357,1680556400.1483984,1680556400.1483984,1680556400.1483984,1680556402.2813363,1680556416.0568748
1680556416.0692434,1680556417.5554466,1680556417.5712216,1680556416.0692434,1680556416.0692434,1680556416.0692434,1680556418.2285872,1680556433.8872402
1680556433.8942604,1680556435.576552,1680556435.5875509,1680556433.8932447,1680556433.8942604,1680556433.8942604,1680556436.2751358,1680556451.676429
1680556451.685587,1680556454.1697628,1680556454.1854541,1680556451.683421,1680556451.6844356,1680556451.6844356,1680556455.1651084,1680556475.115172
1680556475.1271715,1680556476.7013242,1680556476.7163334,1680556475.1261718,1680556475.1271715,1680556475.1271715,1680556477.6182032,1680556495.0516627
1680556495.0608454,1680556496.7414107,1680556496.7534072,1680556495.0598323,1680556495.0608454,1680556495.0608454,1680556497.4674387,1680556512.7342978
1680556512.7463093,1680556514.3367531,1680556514.3556755,1680556512.7463093,1680556512.7463093,1680556512.7463093,1680556515.037722,1680556530.8900099
1680556530.8974879,1680556532.7767076,1680556532.7934568,1680556530.8950105,1680556530.896446,1680556530.896446,1680556533.529536,1680556549.9845493
1680556549.992207,1680556551.5269148,1680556551.5372503,1680556549.991206,1680556549.992207,1680556549.992207,1680556552.3354304,1680556567.971852
1680556567.9779243,1680556569.775409,1680556569.7910345,1680556567.976866,1680556567.976866,1680556567.9779243,1680556570.509435,1680556586.5583792
1680556586.5639174,1680556588.3735807,1680556588.389331,1680556586.562904,1680556586.5639174,1680556586.5639174,1680556589.534184,1680556604.9849677
1680556604.990027,1680556606.41113,1680556606.4211297,1680556604.989008,1680556604.990027,1680556604.990027,1680556607.180054,1680556622.1315277
1680556622.14715,1680556623.790905,1680556623.790905,1680556622.14715,1680556622.14715,1680556622.14715,1680556624.4663215,1680556637.5657213
1680556637.5657213,1680556639.049345,1680556639.0657597,1680556637.5657213,1680556637.5657213,1680556637.5657213,1680556639.8163693,1680556654.9975564
1680556654.9975564,1680556656.437107,1680556656.452737,1680556654.9975564,1680556654.9975564,1680556654.9975564,1680556657.1901577,1680556673.3387985
1680556673.341814,1680556674.9924612,1680556675.0059655,1680556673.341814,1680556673.341814,1680556673.341814,1680556675.8288765,1680556690.067184
1680556690.0763364,1680556691.7753444,1680556691.7916687,1680556690.0763364,1680556690.0763364,1680556690.0763364,1680556692.524647,1680556708.024551
1680556708.024551,1680556709.6679866,1680556709.6679866,1680556708.024551,1680556708.024551,1680556708.024551,1680556710.4176602,1680556723.292811
1680556723.3113353,1680556724.7162912,1680556724.7162912,1680556723.3113353,1680556723.3113353,1680556723.3113353,1680556725.4378672,1680556739.0005655
1680556739.0069559,1680556740.521171,1680556740.521171,1680556739.0059543,1680556739.0059543,1680556739.0069559,1680556741.116219,1680556754.4426928
1680556754.4497013,1680556755.9013946,1680556755.9013946,1680556754.4497013,1680556754.4497013,1680556754.4497013,1680556756.6438644,1680556770.1196914
1680556770.1276917,1680556772.2530503,1680556772.2661626,1680556770.1266913,1680556770.1276917,1680556770.1276917,1680556773.1153867,1680556792.062758
1680556792.062758,1680556793.4479918,1680556793.4541855,1680556792.062758,1680556792.062758,1680556792.062758,1680556794.0457141,1680556810.124417
1680556810.1406944,1680556811.652176,1680556811.652176,1680556810.140048,1680556810.1406944,1680556810.1406944,1680556812.2814019,1680556826.059664
1680556826.059664,1680556827.591515,1680556827.6082325,1680556826.059664,1680556826.059664,1680556826.059664,1680556828.294446,1680556842.0474281
1680556842.0554373,1680556843.6518507,1680556843.6518507,1680556842.0554373,1680556842.0554373,1680556842.0554373,1680556844.3327157,1680556858.829682
1680556858.8456924,1680556860.382474,1680556860.3984828,1680556858.8456924,1680556858.8456924,1680556858.8456924,1680556861.1805463,1680556879.2694926
1680556879.2787206,1680556881.1644132,1680556881.1782734,1680556879.2765765,1680556879.2776587,1680556879.2787206,1680556882.007268,1680556901.9690955
1680556901.9785235,1680556903.6094491,1680556903.6178286,1680556901.9765196,1680556901.9775236,1680556901.9775236,1680556904.3073373,1680556918.744747
1680556918.7531338,1680556920.281466,1680556920.293474,1680556918.7511325,1680556918.7531338,1680556918.7531338,1680556921.05895,1680556935.8969557
1680556935.90288,1680556937.3591158,1680556937.3673956,1680556935.9009666,1680556935.9018862,1680556935.90288,1680556938.0642421,1680556951.7665083
1680556951.7720275,1680556953.0604532,1680556953.069531,1680556951.7710226,1680556951.7720275,1680556951.7720275,1680556953.6780536,1680556966.304104
1680556966.3128097,1680556967.7381563,1680556967.7509863,1680556966.3108456,1680556966.3117611,1680556966.3128097,1680556968.3362176,1680556980.4168983
1680556980.4223444,1680556981.7459333,1680556981.757754,1680556980.4210532,1680556980.4223444,1680556980.4223444,1680556982.3054771,1680556994.3804882
1680556994.3854928,1680556995.7345266,1680556995.7431026,1680556994.3844075,1680556994.3854928,1680556994.3854928,1680556996.3585882,1680557008.7798474
1680557008.7924063,1680557010.079755,1680557010.0884578,1680557008.7904384,1680557008.7914546,1680557008.7924063,1680557010.675604,1680557022.7691698
1680557022.7760932,1680557024.092661,1680557024.1010861,1680557022.7751722,1680557022.7760932,1680557022.7760932,1680557024.701295,1680557036.881773
1680557036.8898153,1680557038.2427971,1680557038.2514892,1680557036.8888535,1680557036.8898153,1680557036.8898153,1680557038.8658397,1680557051.7619092
1680557051.7702131,1680557053.3092706,1680557053.31728,1680557051.768289,1680557051.7692938,1680557051.7692938,1680557053.9199312,1680557066.2968786
1680557066.3048012,1680557067.5529683,1680557067.5643148,1680557066.3038783,1680557066.3048012,1680557066.3048012,1680557068.2288108,1680557080.8410645
1680557080.8478312,1680557082.1671715,1680557082.1789095,1680557080.8468368,1680557080.8468368,1680557080.8478312,1680557082.8356397,1680557095.7783043
1680557095.787292,1680557097.2351322,1680557097.2427294,1680557095.785301,1680557095.7863295,1680557095.787292,1680557097.8650162,1680557110.1811411
1680557110.1910267,1680557111.5791483,1680557111.5896444,1680557110.1889853,1680557110.1900647,1680557110.1900647,1680557112.1423047,1680557124.5235596
1680557124.5309978,1680557125.9500961,1680557125.9623506,1680557124.5289927,1680557124.5309978,1680557124.5309978,1680557126.502202,1680557138.514987
1680557138.5206196,1680557139.9315999,1680557139.9412272,1680557138.5196998,1680557138.5206196,1680557138.5206196,1680557140.645041,1680557153.0777538
1680557153.0853064,1680557154.4498286,1680557154.4619138,1680557153.0842957,1680557153.0853064,1680557153.0853064,1680557155.006935,1680557167.637457
1680557167.6434236,1680557169.3764663,1680557169.3850765,1680557167.6414492,1680557167.642448,1680557167.6434236,1680557170.0029578,1680557185.5236087
1680557185.5296097,1680557187.441758,1680557187.45549,1680557185.5276093,1680557185.5286143,1680557185.5296097,1680557188.181823,1680557203.671461
1680557203.6765268,1680557205.54486,1680557205.5632248,1680557203.6744614,1680557203.6756036,1680557203.6765268,1680557206.4891007,1680557224.3552654
1680557224.3639555,1680557226.9189928,1680557226.933411,1680557224.3627815,1680557224.3639555,1680557224.3639555,1680557227.851563,1680557245.0303242
1680557245.0424058,1680557246.8821075,1680557246.8931031,1680557245.0400467,1680557245.0410535,1680557245.0424058,1680557247.5547428,1680557264.0301933
1680557264.0404665,1680557265.9690506,1680557265.9816296,1680557264.0384104,1680557264.0394104,1680557264.0404665,1680557266.7539425,1680557283.130707
1680557283.1377082,1680557284.9430869,1680557284.9552963,1680557283.1357107,1680557283.1367073,1680557283.1377082,1680557285.7167287,1680557302.917402
1680557302.9240756,1680557305.158341,1680557305.1693397,1680557302.9230754,1680557302.9240756,1680557302.9240756,1680557306.1758325,1680557327.134613
1680557327.1449652,1680557329.2721713,1680557329.2801974,1680557327.1439617,1680557327.1449652,1680557327.1449652,1680557330.0053735,1680557347.1035182
1680557347.1131759,1680557349.4022572,1680557349.4131095,1680557347.1121154,1680557347.1131759,1680557347.1131759,1680557350.3755174,1680557366.2333622
1680557366.241964,1680557367.957251,1680557367.9642613,1680557366.2409663,1680557366.241964,1680557366.241964,1680557368.5687182,1680557383.6494937
1680557383.65634,1680557385.2093465,1680557385.2219398,1680557383.6553404,1680557383.65634,1680557383.65634,1680557385.835889,1680557400.0507371
1680557400.059,1680557401.6080086,1680557401.6195986,1680557400.0570762,1680557400.059,1680557400.059,1680557402.2827437,1680557416.1767619
1680557416.18233,1680557417.839944,1680557417.8489478,1680557416.1808767,1680557416.18233,1680557416.18233,1680557418.473358,1680557432.00793
1680557432.0176632,1680557433.7263508,1680557433.7382333,1680557432.0166678,1680557432.0176632,1680557432.0176632,1680557434.393131,1680557453.1695309
1680557453.1784234,1680557455.2230659,1680557455.2343204,1680557453.1774135,1680557453.1774135,1680557453.1784234,1680557456.0459344,1680557474.014338
1680557474.021339,1680557475.7492752,1680557475.7610052,1680557474.0193388,1680557474.0203388,1680557474.021339,1680557476.4623158,1680557490.6454241
1680557490.654447,1680557492.1644146,1680557492.1774673,1680557490.6523454,1680557490.653345,1680557490.653345,1680557492.8390155,1680557507.4570107
1680557507.464928,1680557509.0479336,1680557509.0617688,1680557507.4640212,1680557507.464928,1680557507.464928,1680557509.7722833,1680557524.5047245
1680557524.5127265,1680557526.2135274,1680557526.2245216,1680557524.5117311,1680557524.5127265,1680557524.5127265,1680557526.8904681,1680557541.9916747
1680557541.9991903,1680557543.8698657,1680557543.88079,1680557541.996862,1680557541.9979722,1680557541.9979722,1680557544.6207037,1680557559.673852
1680557559.682451,1680557561.3510032,1680557561.3657556,1680557559.6804416,1680557559.681483,1680557559.681483,1680557562.3057368,1680557578.4351013
1680557578.4464922,1680557580.3786798,1680557580.3887618,1680557578.4444728,1680557578.4454858,1680557578.4454858,1680557581.0248687,1680557596.119202
1680557596.127615,1680557597.7448695,1680557597.7528667,1680557596.1266177,1680557596.1266177,1680557596.127615,1680557598.407044,1680557613.8832715
1680557613.8910096,1680557615.5634575,1680557615.5769782,1680557613.8889275,1680557613.8910096,1680557613.8910096,1680557616.2907689,1680557631.2126527
1680557631.2225268,1680557632.9344437,1680557632.9477468,1680557631.2209752,1680557631.2225268,1680557631.2225268,1680557633.7123528,1680557648.8006084
1680557648.8079703,1680557650.4017475,1680557650.4118638,1680557648.8059816,1680557648.8069706,1680557648.8079703,1680557651.0193987,1680557664.661627
1680557664.6707,1680557666.419668,1680557666.4332259,1680557664.6687915,1680557664.6697044,1680557664.6697044,1680557667.0705502,1680557681.8476677
1680557681.8566823,1680557683.378529,1680557683.3922698,1680557681.8546774,1680557681.8556771,1680557681.8566823,1680557684.0800743,1680557699.02998
1680557699.0380735,1680557700.628789,1680557700.642793,1680557699.0360734,1680557699.037073,1680557699.037073,1680557701.2604778,1680557715.5190406
1680557715.5266995,1680557717.2608273,1680557717.2738206,1680557715.5240407,1680557715.5251384,1680557715.5251384,1680557717.9615626,1680557731.8650105
1680557731.8731318,1680557733.4931102,1680557733.5063107,1680557731.8710098,1680557731.873011,1680557731.8731318,1680557734.1479838,1680557748.3041275
1680557748.3119946,1680557749.8733778,1680557749.8863745,1680557748.3110206,1680557748.3119946,1680557748.3119946,1680557750.537493,1680557764.7430458
1680557764.7510421,1680557766.324115,1680557766.337003,1680557764.7500436,1680557764.7510421,1680557764.7510421,1680557766.9885478,1680557781.983513
1680557781.9929276,1680557783.5456114,1680557783.5587735,1680557781.9909403,1680557781.9918597,1680557781.9918597,1680557784.2904587,1680557799.4727983
1680557799.4787986,1680557801.0708365,1680557801.0832589,1680557799.4767985,1680557799.4777985,1680557799.4787986,1680557801.8097408,1680557816.4968626
1680557816.5039768,1680557818.1170099,1680557818.1264381,1680557816.503053,1680557816.5039768,1680557816.5039768,1680557818.8035707,1680557833.7569203
1680557833.7634013,1680557835.387647,1680557835.3996665,1680557833.7623918,1680557833.7634013,1680557833.7634013,1680557836.1035607,1680557851.2612317
